carat,cut,color,clarity,depth,table,x,y,z,price
0.22,Fair,E,VS2,65.1,61.0,3.87,3.78,2.49,337
0.86,Fair,E,SI2,55.1,69.0,6.45,6.33,3.52,2757
0.96,Fair,F,SI2,66.3,62.0,6.27,5.95,4.07,2759
0.7,Fair,F,VS2,64.5,57.0,5.57,5.53,3.58,2762
0.7,Fair,F,VS2,65.3,55.0,5.63,5.58,3.66,2762
0.91,Fair,H,SI2,64.4,57.0,6.11,6.09,3.93,2763
0.91,Fair,H,SI2,65.7,60.0,6.03,5.99,3.95,2763
0.98,Fair,H,SI2,67.9,60.0,6.05,5.97,4.08,2777
0.84,Fair,G,SI1,55.1,67.0,6.39,6.2,3.47,2782
1.01,Fair,E,I1,64.5,58.0,6.29,6.21,4.03,2788
1.05,Fair,J,SI2,65.8,59.0,6.41,6.27,4.18,2789
0.7,Fair,G,VVS1,58.8,66.0,5.81,5.9,3.44,2797
1.01,Fair,E,SI2,67.4,60.0,6.19,6.05,4.13,2797
0.76,Fair,G,VS1,59.0,70.0,5.89,5.8,3.46,2800
0.9,Fair,I,SI1,67.3,59.0,5.93,5.84,3.96,2804
0.57,Fair,E,VVS1,58.7,66.0,5.34,5.43,3.16,2805
0.74,Fair,F,VS2,61.1,68.0,5.82,5.75,3.53,2805
1.0,Fair,G,I1,66.4,59.0,6.16,6.09,4.07,2808
1.2,Fair,F,I1,64.6,56.0,6.73,6.66,4.33,2809
1.0,Fair,J,VS2,65.7,59.0,6.14,6.07,4.01,2811
0.99,Fair,I,SI2,68.1,56.0,6.21,6.06,4.18,2811
0.99,Fair,J,SI1,55.0,61.0,6.72,6.67,3.68,2812
0.9,Fair,J,VS2,65.0,56.0,6.08,6.04,3.94,2815
0.95,Fair,F,SI2,56.0,60.0,6.62,6.53,3.68,2815
0.96,Fair,E,SI2,53.1,63.0,6.73,6.65,3.55,2815
1.0,Fair,H,SI2,65.3,62.0,6.34,6.12,4.08,2818
0.9,Fair,H,SI2,65.8,54.0,6.05,5.98,3.96,2823
0.91,Fair,H,SI2,61.3,67.0,6.24,6.19,3.81,2825
0.9,Fair,G,SI2,65.3,59.0,6.07,6.0,3.94,2834
0.82,Fair,F,SI1,64.9,58.0,5.83,5.79,3.77,2838
0.95,Fair,G,SI1,66.7,56.0,6.16,6.03,4.06,2841
1.01,Fair,H,SI2,65.4,59.0,6.3,6.26,4.11,2846
0.75,Fair,D,SI2,64.6,57.0,5.74,5.72,3.7,2848
0.91,Fair,J,VS2,64.4,62.0,6.06,6.03,3.89,2854
