carat,cut,color,clarity,depth,table,x,y,z,price
0.23,Ideal,E,SI2,61.5,55.0,3.95,3.98,2.43,326
0.23,Ideal,J,VS1,62.8,56.0,3.93,3.9,2.46,340
0.31,Ideal,J,SI2,62.2,54.0,4.35,4.37,2.71,344
0.3,Ideal,I,SI2,62.0,54.0,4.31,4.34,2.68,348
0.33,Ideal,I,SI2,61.8,55.0,4.49,4.51,2.78,403
0.33,Ideal,I,SI2,61.2,56.0,4.49,4.5,2.75,403
0.33,Ideal,J,SI1,61.1,56.0,4.49,4.55,2.76,403
0.23,Ideal,G,VS1,61.9,54.0,3.93,3.95,2.44,404
0.32,Ideal,I,SI1,60.9,55.0,4.45,4.48,2.72,404
0.3,Ideal,I,SI2,61.0,59.0,4.3,4.33,2.63,405
0.35,Ideal,I,VS1,60.9,57.0,4.54,4.59,2.78,552
0.3,Ideal,D,SI1,62.5,57.0,4.29,4.32,2.69,552
0.3,Ideal,D,SI1,62.1,56.0,4.3,4.33,2.68,552
0.28,Ideal,G,VVS2,61.4,56.0,4.19,4.22,2.58,553
0.32,Ideal,I,VVS1,62.0,55.3,4.39,4.42,2.73,553
0.26,Ideal,E,VVS2,62.9,58.0,4.02,4.06,2.54,554
0.38,Ideal,I,SI2,61.6,56.0,4.65,4.67,2.87,554
0.7,Ideal,E,SI1,62.5,57.0,5.7,5.72,3.57,2757
0.7,Ideal,G,VS2,61.6,56.0,5.7,5.67,3.5,2757
0.74,Ideal,G,SI1,61.6,55.0,5.8,5.85,3.59,2760
0.8,Ideal,I,VS1,62.9,56.0,5.94,5.87,3.72,2760
0.75,Ideal,G,SI1,62.2,55.0,5.87,5.8,3.63,2760
0.74,Ideal,I,VVS2,62.3,55.0,5.77,5.81,3.61,2761
0.81,Ideal,F,SI2,58.8,57.0,6.14,6.11,3.6,2761
0.59,Ideal,E,VVS2,62.0,55.0,5.38,5.43,3.35,2761
0.8,Ideal,F,SI2,61.4,57.0,5.96,6.0,3.67,2761
0.74,Ideal,E,SI2,62.2,56.0,5.8,5.84,3.62,2761
0.73,Ideal,F,VS2,62.6,56.0,5.77,5.74,3.6,2762
0.73,Ideal,F,VS2,62.7,53.0,5.8,5.75,3.62,2762
0.71,Ideal,G,VS2,62.4,54.0,5.72,5.76,3.58,2762
0.7,Ideal,E,VS2,60.7,58.0,5.73,5.76,3.49,2762
0.8,Ideal,F,SI2,59.9,59.0,6.01,6.07,3.62,2762
0.71,Ideal,D,SI2,62.3,56.0,5.73,5.69,3.56,2762
0.74,Ideal,E,SI1,62.3,54.0,5.8,5.83,3.62,2762
0.77,Ideal,H,VS2,62.0,56.0,5.89,5.86,3.64,2763
0.71,Ideal,D,SI1,61.9,59.0,5.69,5.72,3.53,2764
0.76,Ideal,H,SI1,61.2,57.0,5.88,5.91,3.61,2765
0.64,Ideal,G,VVS1,61.9,56.0,5.53,5.56,3.43,2766
0.71,Ideal,D,SI2,61.6,55.0,5.74,5.76,3.54,2767
0.7,Ideal,E,SI1,60.9,57.0,5.73,5.76,3.5,2768
0.74,Ideal,I,SI1,61.3,56.0,5.82,5.86,3.57,2769
0.76,Ideal,D,SI2,62.4,57.0,5.78,5.83,3.62,2770
0.71,Ideal,F,SI1,60.7,56.0,5.77,5.8,3.51,2770
0.73,Ideal,D,SI2,59.9,57.0,5.92,5.89,3.54,2770
0.71,Ideal,G,VS2,61.9,57.0,5.73,5.77,3.56,2771
0.79,Ideal,F,SI2,61.9,55.0,5.97,5.92,3.68,2771
0.58,Ideal,G,VVS1,61.5,55.0,5.39,5.44,3.33,2772
