carat,cut,color,clarity,depth,table,x,y,z,price
0.23,Good,E,VS1,56.9,65.0,4.05,4.07,2.31,327
0.31,Good,J,SI2,63.3,58.0,4.34,4.35,2.75,335
0.3,Good,J,SI1,64.0,55.0,4.25,4.28,2.73,339
0.3,Good,J,SI1,63.4,54.0,4.23,4.29,2.7,351
0.3,Good,J,SI1,63.8,56.0,4.23,4.26,2.71,351
0.3,Good,I,SI2,63.3,56.0,4.26,4.3,2.71,351
0.23,Good,F,VS1,58.2,59.0,4.06,4.08,2.37,402
0.23,Good,E,VS1,64.1,59.0,3.83,3.85,2.46,402
0.31,Good,H,SI1,64.0,54.0,4.29,4.31,2.75,402
0.26,Good,D,VS2,65.2,56.0,3.99,4.02,2.61,403
0.26,Good,D,VS1,58.4,63.0,4.19,4.24,2.46,403
0.32,Good,H,SI2,63.1,56.0,4.34,4.37,2.75,403
0.32,Good,H,SI2,63.8,56.0,4.36,4.38,2.79,403
0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,405
0.3,Good,H,SI1,63.7,57.0,4.28,4.26,2.72,554
0.26,Good,E,VVS1,57.9,60.0,4.22,4.25,2.45,554
0.7,Good,E,VS2,57.5,58.0,5.85,5.9,3.38,2759
0.7,Good,F,VS1,59.4,62.0,5.71,5.76,3.4,2759
0.7,Good,H,VVS2,62.1,64.0,5.62,5.65,3.5,2767
0.71,Good,E,VS2,59.2,61.0,5.8,5.88,3.46,2772
0.83,Good,I,VS2,64.6,54.0,5.85,5.88,3.79,2774
0.72,Good,G,VS2,59.7,60.5,5.8,5.84,3.47,2776
0.71,Good,F,VS2,63.8,58.0,5.61,5.64,3.59,2777
0.71,Good,F,VS2,57.8,60.0,5.87,5.9,3.4,2777
0.7,Good,E,VS2,64.1,59.0,5.64,5.59,3.6,2777
0.7,Good,E,VS1,57.2,62.0,5.81,5.77,3.31,2782
0.71,Good,D,VS2,63.3,56.0,5.64,5.68,3.58,2788
0.77,Good,G,VS1,59.4,64.0,5.97,5.92,3.53,2788
0.77,Good,F,SI1,64.2,52.0,5.81,5.77,3.72,2789
0.76,Good,E,SI1,63.7,54.0,5.76,5.85,3.7,2789
0.81,Good,G,SI2,61.0,61.0,5.94,5.99,3.64,2789
0.7,Good,E,VS2,64.1,55.0,5.6,5.66,3.61,2793
0.72,Good,F,VS1,60.7,60.0,5.74,5.72,3.48,2795
0.73,Good,E,SI1,63.2,58.0,5.7,5.76,3.62,2796
0.9,Good,I,SI2,62.2,59.0,6.07,6.11,3.79,2800
0.71,Good,F,VS2,57.8,60.0,5.9,5.87,3.4,2801
0.71,Good,F,VS2,63.8,58.0,5.64,5.61,3.59,2801
0.7,Good,G,VS1,65.1,58.0,5.56,5.59,3.63,2803
0.82,Good,G,VS2,64.0,57.0,5.92,5.89,3.78,2805
0.7,Good,F,VS1,62.8,61.0,5.57,5.61,3.51,2810
0.8,Good,G,SI1,62.7,57.0,5.84,5.93,3.69,2810
0.7,Good,E,SI1,63.5,59.0,5.49,5.53,3.5,2812
0.3,Good,H,SI1,63.8,55.0,4.26,4.2,2.7,554
0.32,Good,I,SI1,63.9,55.0,4.36,4.34,2.78,554
0.91,Good,I,VS2,64.3,58.0,6.09,6.05,3.9,2813
0.71,Good,D,VS1,63.4,55.0,5.61,5.69,3.58,2816
0.71,Good,E,SI1,62.8,64.0,5.6,5.54,3.5,2817
0.7,Good,F,VS1,59.7,63.0,5.76,5.79,3.45,2819
0.86,Good,F,SI2,64.3,60.0,5.97,5.95,3.83,2819
0.73,Good,E,SI1,63.6,57.0,5.72,5.7,3.63,2821
0.9,Good,J,VS2,64.0,61.0,6.04,6.03,3.86,2822
0.7,Good,E,SI1,61.4,64.0,5.71,5.66,3.49,2822
0.9,Good,I,SI1,63.8,57.0,6.06,6.13,3.89,2823
0.74,Good,E,VS1,63.1,58.0,5.73,5.75,3.62,2824
0.7,Good,E,VS1,57.2,59.0,5.94,5.88,3.38,2826
0.72,Good,D,VS2,64.0,54.0,5.68,5.7,3.64,2827
0.8,Good,E,SI2,63.7,54.0,5.91,5.87,3.75,2829
0.9,Good,J,SI1,64.3,63.0,6.05,6.01,3.88,2832
0.71,Good,E,VS2,62.8,60.0,5.6,5.65,3.53,2836
1.01,Good,I,I1,63.1,57.0,6.35,6.39,4.02,2844
0.8,Good,H,VS2,63.4,60.0,5.92,5.82,3.72,2845
1.01,Good,H,I1,64.2,61.0,6.25,6.18,3.99,2846
0.7,Good,F,VS2,59.1,61.0,5.76,5.84,3.43,2846
0.79,Good,E,SI1,64.1,54.0,5.86,5.84,3.75,2849
0.71,Good,G,VS1,63.5,55.0,5.64,5.66,3.59,2853
0.91,Good,J,VS2,64.2,58.0,6.12,6.09,3.92,2854
1.03,Good,J,SI1,63.6,57.0,6.38,6.29,4.03,2855
0.34,Good,G,VS2,57.5,61.0,4.6,4.66,2.66,556
0.34,Good,E,SI1,63.3,57.0,4.44,4.47,2.82,556
0.34,Good,E,SI1,63.5,55.0,4.44,4.47,2.83,556
0.34,Good,E,SI1,63.4,55.0,4.44,4.46,2.82,556
0.32,Good,E,VS2,64.1,54.0,4.34,4.37,2.79,556
0.33,Good,I,SI1,63.6,53.0,4.43,4.4,2.81,557
