carat,cut,color,clarity,depth,table,x,y,z,price
0.24,Very Good,J,VVS2,62.8,57.0,3.94,3.96,2.48,336
0.24,Very Good,I,VVS1,62.3,57.0,3.95,3.98,2.47,336
0.26,Very Good,H,SI1,61.9,55.0,4.07,4.11,2.53,337
0.23,Very Good,H,VS1,59.4,61.0,4.0,4.05,2.39,338
0.3,Very Good,J,SI1,62.7,59.0,4.21,4.27,2.66,351
0.23,Very Good,E,VS2,63.8,55.0,3.85,3.92,2.48,352
0.23,Very Good,H,VS1,61.0,57.0,3.94,3.96,2.41,353
0.31,Very Good,J,SI1,59.4,62.0,4.39,4.43,2.62,353
0.31,Very Good,J,SI1,58.1,62.0,4.44,4.47,2.59,353
0.23,Very Good,G,VVS2,60.4,58.0,3.97,4.01,2.41,354
0.3,Very Good,J,VS2,62.2,57.0,4.28,4.3,2.67,357
0.23,Very Good,D,VS2,60.5,61.0,3.96,3.97,2.4,357
0.23,Very Good,F,VS1,60.9,57.0,3.96,3.99,2.42,357
0.23,Very Good,F,VS1,60.0,57.0,4.0,4.03,2.41,402
0.23,Very Good,F,VS1,59.8,57.0,4.04,4.06,2.42,402
0.23,Very Good,E,VS1,60.7,59.0,3.97,4.01,2.42,402
0.23,Very Good,E,VS1,59.5,58.0,4.01,4.06,2.4,402
0.23,Very Good,D,VS1,61.9,58.0,3.92,3.96,2.44,402
0.26,Very Good,D,VS2,60.8,59.0,4.13,4.16,2.52,403
0.32,Very Good,H,SI2,61.8,55.0,4.35,4.42,2.71,403
0.25,Very Good,E,VS2,63.3,60.0,4.0,4.03,2.54,404
0.29,Very Good,H,SI2,60.7,60.0,4.33,4.37,2.64,404
0.24,Very Good,F,SI1,60.9,61.0,4.02,4.03,2.45,404
0.3,Very Good,I,SI1,62.6,57.0,4.25,4.28,2.67,405
0.3,Very Good,I,SI1,63.0,57.0,4.28,4.32,2.71,405
0.31,Very Good,G,SI1,63.3,57.0,4.33,4.3,2.73,553
0.24,Very Good,D,VVS1,61.5,60.0,3.97,4.0,2.45,553
0.3,Very Good,H,SI1,63.1,56.0,4.29,4.27,2.7,554
0.26,Very Good,F,VVS2,59.2,60.0,4.19,4.22,2.49,554
0.26,Very Good,E,VVS2,59.9,58.0,4.15,4.23,2.51,554
0.26,Very Good,D,VVS2,62.4,54.0,4.08,4.13,2.56,554
0.26,Very Good,D,VVS2,62.8,60.0,4.01,4.05,2.53,554
0.26,Very Good,E,VVS1,62.6,59.0,4.06,4.09,2.55,554
0.26,Very Good,E,VVS1,63.4,59.0,4.0,4.04,2.55,554
0.26,Very Good,D,VVS1,62.1,60.0,4.03,4.12,2.53,554
0.71,Very Good,E,VS2,62.4,57.0,5.68,5.73,3.56,2759
0.78,Very Good,G,SI2,63.8,56.0,5.81,5.85,3.72,2759
0.73,Very Good,E,SI1,61.6,59.0,5.77,5.78,3.56,2760
0.75,Very Good,D,SI1,63.2,56.0,5.8,5.75,3.65,2760
0.74,Very Good,G,SI1,62.2,59.0,5.73,5.82,3.59,2762
0.7,Very Good,F,VS2,61.7,63.0,5.64,5.61,3.47,2762
0.61,Very Good,D,VVS2,59.6,57.0,5.56,5.58,3.32,2763
0.71,Very Good,D,SI1,63.6,58.0,5.64,5.68,3.6,2764
0.7,Very Good,E,VS2,62.6,60.0,5.62,5.65,3.53,2765
0.77,Very Good,H,VS1,61.3,60.0,5.88,5.9,3.61,2765
0.71,Very Good,F,VS1,60.1,62.0,5.74,5.77,3.46,2765
0.7,Very Good,D,VS2,61.8,55.0,5.68,5.72,3.52,2767
0.7,Very Good,F,VS1,60.0,57.0,5.8,5.87,3.5,2767
0.71,Very Good,G,VS1,63.3,59.0,5.52,5.61,3.52,2768
0.73,Very Good,D,SI1,60.2,56.0,5.83,5.87,3.52,2768
0.7,Very Good,D,SI1,61.1,58.0,5.66,5.73,3.48,2768
0.76,Very Good,F,SI1,62.9,57.0,5.79,5.81,3.65,2770
0.72,Very Good,H,VVS2,60.3,56.0,5.81,5.83,3.51,2771
0.73,Very Good,F,SI1,61.7,60.0,5.79,5.82,3.58,2771
0.73,Very Good,H,VVS1,60.4,59.0,5.83,5.89,3.54,2772
0.8,Very Good,F,SI2,61.0,57.0,6.01,6.03,3.67,2772
1.17,Very Good,J,I1,60.2,61.0,6.83,6.9,4.13,2774
0.74,Very Good,F,VS2,61.3,61.0,5.8,5.84,3.57,2775
0.72,Very Good,G,VS2,63.7,56.4,5.62,5.69,3.61,2776
0.7,Very Good,D,VS1,62.7,58.0,5.66,5.73,3.57,2777
0.71,Very Good,F,VS2,62.8,57.0,5.64,5.69,3.56,2777
0.7,Very Good,E,SI1,59.9,63.0,5.76,5.7,3.43,2777
0.7,Very Good,E,SI1,63.2,60.0,5.6,5.51,3.51,2777
0.73,Very Good,H,VS2,60.8,56.0,5.82,5.84,3.55,2779
0.7,Very Good,F,VS2,63.6,57.0,5.61,5.65,3.58,2780
0.72,Very Good,H,VS1,60.6,63.0,5.83,5.76,3.51,2782
0.53,Very Good,D,VVS2,57.5,64.0,5.34,5.37,3.08,2782
0.75,Very Good,D,SI2,63.1,58.0,5.78,5.73,3.63,2782
0.72,Very Good,F,VS2,63.0,54.0,5.69,5.73,3.6,2784
0.79,Very Good,H,VS1,63.7,56.0,5.85,5.92,3.75,2784
0.72,Very Good,F,VS2,63.6,58.0,5.66,5.69,3.61,2787
0.7,Very Good,H,VVS1,60.5,60.0,5.74,5.77,3.48,2788
0.83,Very Good,I,VS1,61.1,60.0,6.07,6.1,3.72,2788
1.05,Very Good,J,SI2,63.2,56.0,6.49,6.45,4.09,2789
0.87,Very Good,I,SI1,63.6,55.8,6.07,6.1,3.87,2791
0.79,Very Good,G,SI1,60.6,57.0,5.98,6.06,3.65,2793
